r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
0.6000,2.7500,0.2500,-0.295491,0.249898,0.148738,-0.295491,0
0.6000,2.7500,0.3000,-0.151512,0.249897,0.160991,-0.151512,0
0.6000,2.7500,0.3500,-0.345959,0.249897,0.153637,-0.345959,0
0.6000,2.7500,0.4000,-0.332469,0.249896,0.043488,-0.332469,0
0.6000,2.7500,0.4500,-0.376239,0.249895,-0.011147,-0.376239,0
0.6000,3.0000,0.0000,0.635992,0.249902,0.238349,0.238349,1
0.6000,3.0000,0.0500,0.538921,0.249902,0.253133,0.249902,1
0.6000,3.0000,0.1000,0.068157,0.249901,0.161416,0.068157,1
0.6000,3.0000,0.1500,0.009276,0.249900,0.192328,0.009276,0
0.6000,3.0000,0.2000,-0.253887,0.249899,0.147336,-0.253887,0
0.6000,3.0000,0.2500,-0.352273,0.249898,0.261151,-0.352273,0
0.6000,3.0000,0.3000,-0.305213,0.249897,0.205096,-0.305213,0
0.6000,3.0000,0.3500,-0.350083,0.249897,0.184430,-0.350083,0
0.6000,3.0000,0.4000,-0.355990,0.249896,0.115045,-0.355990,0
0.6000,3.0000,0.4500,-0.408666,0.249895,-0.021691,-0.408666,0
0.8000,1.0000,0.0000,1.000000,0.167297,-0.749795,-0.749795,0
0.8000,1.0000,0.0500,1.000000,0.167297,-0.749683,-0.749683,0
0.8000,1.0000,0.1000,1.000000,0.167296,-1.000000,-1.000000,0
0.8000,1.0000,0.1500,1.000000,0.167295,-1.000000,-1.000000,0
0.8000,1.0000,0.2000,1.000000,0.167295,-0.824279,-0.824279,0
0.8000,1.0000,0.2500,1.000000,0.167294,-1.000000,-1.000000,0
0.8000,1.0000,0.3000,1.000000,0.167294,-0.147747,-0.147747,0
0.8000,1.0000,0.3500,1.000000,0.167293,0.107192,0.107192,1
0.8000,1.0000,0.4000,1.000000,0.167293,-0.194209,-0.194209,0
0.8000,1.0000,0.4500,1.000000,0.167292,-0.250124,-0.250124,0
0.8000,1.2500,0.0000,1.000000,0.167297,-0.916914,-0.916914,0
0.8000,1.2500,0.0500,1.000000,0.167297,-1.000000,-1.000000,0
0.8000,1.2500,0.1000,1.000000,0.167296,-1.000000,-1.000000,0
0.8000,1.2500,0.1500,1.000000,0.167295,-0.503578,-0.503578,0
0.8000,1.2500,0.2000,1.000000,0.167295,-0.190153,-0.190153,0
0.8000,1.2500,0.2500,1.000000,0.167294,0.247512,0.167294,1
0.8000,1.2500,0.3000,1.000000,0.167294,-0.299092,-0.299092,0
0.8000,1.2500,0.3500,1.000000,0.167293,-0.146171,-0.146171,0
0.8000,1.2500,0.4000,1.000000,0.167293,0.136411,0.136411,1
0.8000,1.2500,0.4500,1.000000,0.167292,0.036671,0.036671,0
0.8000,1.5000,0.0000,1.000000,0.167297,-0.306383,-0.306383,0
0.8000,1.5000,0.0500,1.000000,0.167297,-0.305954,-0.305954,0
0.8000,1.5000,0.1000,1.000000,0.167296,0.173131,0.167296,1
0.8000,1.5000,0.1500,1.000000,0.167295,0.250167,0.167295,1
0.8000,1.5000,0.2000,1.000000,0.167295,0.239159,0.167295,1
0.8000,1.5000,0.2500,1.000000,0.167294,0.014212,0.014212,0
0.8000,1.5000,0.3000,1.000000,0.167294,-0.056745,-0.056745,0
0.8000,1.5000,0.3500,1.000000,0.167293,0.131335,0.131335,1
0.8000,1.5000,0.4000,1.000000,0.167293,0.167213,0.167213,1
0.8000,1.5000,0.4500,0.373353,0.167292,0.076023,0.076023,1
0.8000,1.7500,0.0000,1.000000,0.167297,0.362799,0.167297,1
0.8000,1.7500,0.0500,1.000000,0.167297,0.274228,0.167297,1
0.8000,1.7500,0.1000,1.000000,0.167296,0.352370,0.167296,1
0.8000,1.7500,0.1500,1.000000,0.167295,0.263413,0.167295,1
0.8000,1.7500,0.2000,1.000000,0.167295,0.187777,0.167295,1
0.8000,1.7500,0.2500,1.000000,0.167294,0.148098,0.148098,1
0.8000,1.7500,0.3000,0.842957,0.167294,0.228418,0.167294,1
0.8000,1.7500,0.3500,0.354424,0.167293,0.120605,0.120605,1
0.8000,1.7500,0.4000,0.118520,0.167293,0.117439,0.117439,1
0.8000,1.7500,0.4500,-0.336727,0.167292,0.168591,-0.336727,0
0.8000,2.0000,0.0000,1.000000,0.167297,0.246827,0.167297,1
0.8000,2.0000,0.0500,1.000000,0.167297,0.225896,0.167297,1
0.8000,2.0000,0.1000,1.000000,0.167296,0.196135,0.167296,1
0.8000,2.0000,0.1500,1.000000,0.167295,0.136777,0.136777,1
0.8000,2.0000,0.2000,1.000000,0.167295,0.118659,0.118659,1
0.8000,2.0000,0.2500,0.611122,0.167294,0.098438,0.098438,1
0.8000,2.0000,0.3000,0.229677,0.167294,0.266405,0.167294,1
0.8000,2.0000,0.3500,-0.061142,0.167293,0.169832,-0.061142,0
0.8000,2.0000,0.4000,-0.328679,0.167293,0.102219,-0.328679,0
0.8000,2.0000,0.4500,-0.374314,0.167292,-0.015597,-0.374314,0
0.8000,2.2500,0.0000,1.000000,0.167297,0.339936,0.167297,1
0.8000,2.2500,0.0500,1.000000,0.167297,0.290108,0.167297,1
0.8000,2.2500,0.1000,1.000000,0.167296,0.236663,0.167296,1
0.8000,2.2500,0.1500,0.798128,0.167295,0.211735,0.167295,1
0.8000,2.2500,0.2000,0.389593,0.167295,0.183848,0.167295,1
0.8000,2.2500,0.2500,0.052826,0.167294,0.172178,0.052826,1
0.8000,2.2500,0.3000,-0.043621,0.167294,0.127454,-0.043621,0
0.8000,2.2500,0.3500,-0.298519,0.167293,0.189386,-0.298519,0
0.8000,2.2500,0.4000,-0.412550,0.167293,0.082870,-0.412550,0
0.8000,2.2500,0.4500,-0.324544,0.167292,-0.010439,-0.324544,0
0.8000,2.5000,0.0000,1.000000,0.167297,0.266064,0.167297,1
0.8000,2.5000,0.0500,0.814717,0.167297,0.219988,0.167297,1
0.8000,2.5000,0.1000,0.710470,0.167296,0.149207,0.149207,1
0.8000,2.5000,0.1500,0.314176,0.167295,-0.092511,-0.092511,0
0.8000,2.5000,0.2000,0.001333,0.167295,0.231432,0.001333,0
0.8000,2.5000,0.2500,-0.196033,0.167294,0.204980,-0.196033,0
0.8000,2.5000,0.3000,-0.235441,0.167294,0.070378,-0.235441,0
0.8000,2.5000,0.3500,-0.447293,0.167293,0.309645,-0.447293,0
0.8000,2.5000,0.4000,-0.373986,0.167293,0.221416,-0.373986,0
0.8000,2.5000,0.4500,-0.363472,0.167292,-0.001550,-0.363472,0
0.8000,2.7500,0.0000,0.782579,0.167297,0.167529,0.167297,1
0.8000,2.7500,0.0500,0.423017,0.167297,0.230526,0.167297,1
